ID,Date,Year,Startup,Industry,SubIndustry,City,Investors,Investment Type,Funding Amount
45,01/08/2019,2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,"20,000,000.00"
46,01/08/2019,2019,Progcap,Fice,Supply Chain Management,New Delhi,Sequoia India,Series A,"5,000,000.00"
48,01/08/2019,2019,Alteria Capital,Fice,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"140,000,000.00"
49,01/08/2019,2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"38,080,000.00"
50,12/08/2019,2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"125,000,000.00"
51,13/08/2019,2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"11,000,000.00"
52,13/08/2019,2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"51,000,000.00"
53,23/08/2019,2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"37,000,000.00"
54,23/08/2019,2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,"500,000.00"
55,23/08/2019,2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"110,000,000.00"
56,22/08/2019,2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,"15,000,000.00"
57,21/08/2019,2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,"6,590,000.00"
58,23/08/2019,2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,"1,000,000.00"
60,19/08/2019,2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,"70,000,000.00"
61,27/08/2019,2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,900,000,000.00"
62,02/07/2019,2019,RenewBuy,Fice,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"19,000,000.00"
63,02/07/2019,2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"2,500,000.00"
64,01/07/2019,2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"145,000.00"
65,03/07/2019,2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"1,000,000.00"
66,01/07/2019,2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"38,080,000.00"
67,04/07/2019,2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,"500,000.00"
68,10/07/2019,2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,"150,000,000.00"
69,11/07/2019,2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"60,000,000.00"
70,10/07/2019,2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"16,000,000.00"
71,10/07/2019,2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"5,750,000.00"
72,10/07/2019,2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"2,500,000.00"
73,09/07/2019,2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"1,000,000.00"
74,08/07/2019,2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,"319,605.00"
75,05/06/2019,2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"51,000,000.00"
76,04/06/2019,2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"10,000,000.00"
78,03/06/2019,2019,Avail Finance,Fice,FinTech,Bengaluru,Matrix Partners,Series A,"9,000,000.00"
79,04/06/2019,2019,BharatPe,Fice,FinTech,New Delhi,Insight Partners,Series B,"75,000,000.00"
80,04/06/2019,2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"26,000,000.00"
81,03/06/2019,2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"2,500,000.00"
83,06/06/2019,2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"26,000,000.00"
84,06/06/2019,2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,"15,109,500.00"
85,10/06/2019,2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,"430,200.00"
86,10/06/2019,2019,OkCredit,FinTech,Ficial Services,Haryana,Tiger Global Management,Series A,"15,500,000.00"
87,06/06/2019,2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"52,000,000.00"
88,08/06/2019,2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"3,584,000.00"
89,04/06/2019,2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"3,400,000.00"
91,06/05/2019,2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,"868,600.00"
93,01/05/2019,2019,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"150,000,000.00"
94,02/05/2019,2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"50,000,000.00"
95,28/05/2019,2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"51,000,000.00"
96,28/05/2019,2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,"140,000,000.00"
97,30/05/2019,2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,"11,500,000.00"
98,31/05/2019,2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,"5,600,000.00"
99,16/04/2019,2019,Kuvera,Fice,Wealth Management,Bengaluru,Eight Roads,Series A,"45,000,000.00"
100,12/04/2019,2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,"17,000,000.00"
101,10/04/2019,2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,"430,665.00"
